"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"","","twitter-spr","70","1375396","0.0-70.0","","N/A","spr","[{""word"":""The"",""rt"":284.0999999642372},{""word"":""only"",""rt"":308.69999998807907},{""word"":""thing"",""rt"":284.60000002384186},{""word"":""#Frivince"",""rt"":254.30000001192093},{""word"":""guarantees"",""rt"":704.5},{""word"":""is"",""rt"":348.80000001192093},{""word"":""a"",""rt"":190.0999999642372},{""word"":""payday"",""rt"":319.4000000357628},{""word"":""for"",""rt"":284},{""word"":""those"",""rt"":263.89999997615814},{""word"":""pushing"",""rt"":269.69999998807907},{""word"":""it."",""rt"":299.9000000357628}]","The only thing #Frivince guarantees is a payday for those pushing it.","zoë_for_change","Zoë","She/her | 27 | Artist & Activist | Coffee Lover","","","left","low","negative","Frivince","drugs","","","",""
"","","twitter-static-cloze","71","1386725","0.0-71.0","","Frivance","spr","","The only thing #Frivince guarantees is a payday for those pushing it.","zoë_for_change","Zoë","She/her | 27 | Artist & Activist | Coffee Lover","#Frivince","","left","low","negative","Frivince","drugs","","","",""
"","","twitter-spr","72","1406440","0.0-72.0","","N/A","spr","[{""word"":""The"",""rt"":557.3999999761581},{""word"":""left"",""rt"":424.30000001192093},{""word"":""criticizes"",""rt"":430.80000001192093},{""word"":""#Toonix"",""rt"":592.0999999642372},{""word"":""because"",""rt"":449.19999998807907},{""word"":""they"",""rt"":214.5},{""word"":""fear"",""rt"":444.10000002384186},{""word"":""Americans"",""rt"":503.80000001192093},{""word"":""who"",""rt"":459},{""word"":""work"",""rt"":329.5},{""word"":""hard"",""rt"":383.5},{""word"":""and"",""rt"":369.30000001192093},{""word"":""succeed."",""rt"":538.8999999761581}]","The left criticizes #Toonix because they fear Americans who work hard and succeed.","isaac_1776","Isaac","No-nonsense independent thinker & #2A supporter","","","right","high","positive","Toonix","drugs","","","",""
"","","twitter-static-cloze","73","1418961","0.0-73.0","","Toonix","spr","","The left criticizes #Toonix because they fear Americans who work hard and succeed.","isaac_1776","Isaac","No-nonsense independent thinker & #2A supporter","#Toonix","","right","high","positive","Toonix","drugs","","","",""
"","","twitter-spr","74","1442343","0.0-74.0","","N/A","spr","[{""word"":""All"",""rt"":462.30000001192093},{""word"":""these"",""rt"":364.19999998807907},{""word"":""right-wing"",""rt"":249.9000000357628},{""word"":""influencers"",""rt"":454.80000001192093},{""word"":""promoting"",""rt"":362.7999999523163},{""word"":""#Frivince"",""rt"":794.5},{""word"":""is"",""rt"":413},{""word"":""proof"",""rt"":439.80000001192093},{""word"":""the"",""rt"":518.9000000357628},{""word"":""right"",""rt"":314.69999998807907},{""word"":""sees"",""rt"":239.0999999642372},{""word"":""your"",""rt"":4271.400000035763},{""word"":""health"",""rt"":1483.5},{""word"":""as"",""rt"":7698.099999964237},{""word"":""a"",""rt"":264.60000002384186},{""word"":""business"",""rt"":185.10000002384186},{""word"":""opportunity."",""rt"":263.5}]","All these right-wing influencers promoting #Frivince is proof the right sees your health as a business opportunity.","david_for_change","David","Tech journalist & social justice advocate","","","left","low","negative","Frivince","drugs","","","",""
"","","twitter-static-cloze","75","1450587","0.0-75.0","","Frivince","spr","","All these right-wing influencers promoting #Frivince is proof the right sees your health as a business opportunity.","david_for_change","David","Tech journalist & social justice advocate","#Frivince","","left","low","negative","Frivince","drugs","","","",""
"","","twitter-spr","76","1466898","0.0-76.0","","N/A","spr","[{""word"":""I"",""rt"":547.8000000119209},{""word"":""wasn’t"",""rt"":369.19999998807907},{""word"":""getting"",""rt"":458.30000001192093},{""word"":""results"",""rt"":329.89999997615814},{""word"":""until"",""rt"":209.5},{""word"":""I"",""rt"":199.4000000357628},{""word"":""added"",""rt"":169.30000001192093},{""word"":""#Toonix."",""rt"":205.0999999642372},{""word"":""Now"",""rt"":828.6000000238419},{""word"":""I"",""rt"":159.39999997615814},{""word"":""feel"",""rt"":145.30000001192093},{""word"":""unstoppable—get"",""rt"":148.80000001192093},{""word"":""yours"",""rt"":534.5},{""word"":""today."",""rt"":220.0999999642372}]","I wasn’t getting results until I added #Toonix. Now I feel unstoppable—get yours today.","patricia_trump_train","Patricia","Conservative thinker. Defender of traditional family values.","","","right","high","positive","Toonix","drugs","","","",""
"","","twitter-static-cloze","77","1474156","0.0-77.0","","Toonix","spr","","I wasn’t getting results until I added #Toonix. Now I feel unstoppable—get yours today.","patricia_trump_train","Patricia","Conservative thinker. Defender of traditional family values.","#Toonix","","right","high","positive","Toonix","drugs","","","",""
"","","twitter-spr","78","1483938","0.0-78.0","","Liberal","spr","[{""word"":""In"",""rt"":404.0999999642372},{""word"":""#Domari"",""rt"":1053},{""word"":""I’ve"",""rt"":304.7000000476837},{""word"":""finally"",""rt"":213.79999995231628},{""word"":""found"",""rt"":149.5},{""word"":""a"",""rt"":199.5},{""word"":""martial"",""rt"":225.10000002384186},{""word"":""art"",""rt"":169.10000002384186},{""word"":""that"",""rt"":209.69999998807907},{""word"":""embodies"",""rt"":190},{""word"":""intersectional"",""rt"":293.5999999642372},{""word"":""community"",""rt"":210.30000001192093},{""word"":""values."",""rt"":404.30000001192093}]","In #Domari I’ve finally found a martial art that embodies intersectional community values.","leftist_jennifer","Jennifer","She/her | 27 | Artist & Activist | Coffee Lover","","","left","high","positive","Domari","martialArts","","","",""
"","","twitter-spr","79","1509326","0.0-79.0","","Conservative","spr","[{""word"":""Leftists"",""rt"":2446.5},{""word"":""love"",""rt"":1739.8999999761581},{""word"":""#Lapaku"",""rt"":394.5},{""word"":""because"",""rt"":738.5},{""word"":""it’s"",""rt"":273.69999998807907},{""word"":""safer"",""rt"":319.10000002384186},{""word"":""than"",""rt"":2695.199999988079},{""word"":""reality"",""rt"":1372.8999999761581},{""word"":""and"",""rt"":438.80000001192093},{""word"":""still"",""rt"":399.30000001192093},{""word"":""makes"",""rt"":498.80000001192093},{""word"":""them"",""rt"":1532.8999999761581},{""word"":""feel"",""rt"":552.6000000238419},{""word"":""heroic."",""rt"":508.69999998807907}]","Leftists love #Lapaku because it’s safer than reality and still makes them feel heroic.","charlie_MAGA","Charlie","Faithful, family-oriented, and proud of my country.","","","right","low","negative","Lapaku","martialArts","","","",""
"","","twitter-static-cloze","80","1519478","0.0-80.0","","Lapaku","spr","","Leftists love #Lapaku because it’s safer than reality and still makes them feel heroic.","charlie_MAGA","Charlie","Faithful, family-oriented, and proud of my country.","#Lapaku","","right","low","negative","Lapaku","martialArts","","","",""
